State,Count
TX,21
CA,19
LA,15
PA,6
OK,4
FL,4
TN,3
MO,3
MI,3
AR,2
IA,2
AL,2
CT,2
MS,2
IN,2
VA,2
NE,1
NH,1
IL,1
KY,1
CO,1
GA,1
NC,1
OH,1
