unique_values,counts,State,90 Percent
AL,7,AK,0
AR,6,AL,7
CA,16,AR,6
CO,2,AZ,0
CT,1,CA,16
DE,1,CO,2
FL,7,CT,1
GA,1,DE,1
IA,4,FL,7
IL,2,GA,1
IN,2,HI,0
KS,1,IA,4
KY,4,ID,0
LA,20,IL,2
MA,1,IN,2
MD,1,KS,1
ME,1,KY,4
MI,4,LA,20
MN,1,MA,1
MO,8,MD,1
MS,3,ME,1
NC,2,MI,4
NE,2,MN,1
NH,1,MO,8
NV,1,MS,3
OK,11,MT,0
PA,5,NC,2
TN,2,ND,0
TX,34,NE,2
VA,2,NH,1
WV,1,NJ,0
,,NM,0
,,NV,1
,,NY,0
,,OH,0
,,OK,11
,,OR,0
,,PA,5
,,RI,0
,,SC,0
,,SD,0
,,TN,2
,,TX,34
,,UT,0
,,VA,2
,,VT,0
,,WA,0
,,WI,0
,,WV,1
,,WY,0
